marca,clase,provincia,servicio,cantidad
CHEVROLET,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,35
HINO,Volqueta,ESMERALDAS,PARTICULAR,35
CHEVROLET,Camión,COTOPAXI,ALQUILER,35
MITSUBISHI,Camión,IMBABURA,ALQUILER,35
KENWORTH,Trailer,CARCHI,ALQUILER,34
INTERNATIONAL,Camión,EL ORO,PARTICULAR,34
MERCEDES BENZ,Volqueta,COTOPAXI,PARTICULAR,34
KENWORTH,Trailer,AZUAY,ALQUILER,34
CHEVROLET,Camión,GUAYAS,ALQUILER,33
Otras Marcas,Trailer,PICHINCHA,ALQUILER,33
MERCEDES BENZ,Camión,LOJA,PARTICULAR,33
DAIHATSU,Camión,CARCHI,PARTICULAR,33
Otras Marcas,Trailer,PICHINCHA,PARTICULAR,33
FAW,Camión,GUAYAS,PARTICULAR,33
CHEVROLET,Volqueta,PICHINCHA,ALQUILER,32
HINO,Volqueta,PASTAZA,ALQUILER,32
VOLVO,Volqueta,PICHINCHA,PARTICULAR,32
HINO,Camión,NAPO,PARTICULAR,32
KENWORTH,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,32
FORD,Volqueta,EL ORO,PARTICULAR,32
KIA,Camión,IMBABURA,PARTICULAR,31
INTERNATIONAL,Trailer,MANABÍ,PARTICULAR,31
DAIHATSU,Camión,TUNGURAHUA,ALQUILER,31
CHEVROLET,Tanquero,PICHINCHA,PARTICULAR,31
MACK,Volqueta,AZUAY,PARTICULAR,31
GMC,Camión,LOS RÍOS,PARTICULAR,31
HINO,Camión,ESMERALDAS,ALQUILER,31
NISSAN,Camión,TUNGURAHUA,PARTICULAR,31
FORD,Volqueta,IMBABURA,PARTICULAR,30
HINO,Tanquero,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,30
NISSAN,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,30
MITSUBISHI,Camión,SANTA ELENA,PARTICULAR,30
MACK,Trailer,LOS RÍOS,PARTICULAR,30
ISUZU,Camión,COTOPAXI,PARTICULAR,30
HYUNDAI,Camión,GUAYAS,ALQUILER,30
DAIHATSU,Camión,LOJA,PARTICULAR,30
ISUZU,Camión,CARCHI,PARTICULAR,29
CHEVROLET,Camión,LOS RÍOS,ALQUILER,29
Otras Marcas,Volqueta,MANABÍ,PARTICULAR,29
MACK,Trailer,PICHINCHA,ALQUILER,29
MAZDA,Camión,GUAYAS,PARTICULAR,29
MERCEDES BENZ,Trailer,PICHINCHA,ALQUILER,29
ISUZU,Camión,CHIMBORAZO,PARTICULAR,28
INTERNATIONAL,Trailer,AZUAY,PARTICULAR,28
QMC,Camión,LOS RÍOS,PARTICULAR,28
HYUNDAI,Camión,TUNGURAHUA,ALQUILER,28
MERCEDES BENZ,Camión,PICHINCHA,ALQUILER,28
MERCEDES BENZ,Volqueta,CAÑAR,ALQUILER,28
MERCEDES BENZ,Camión,TUNGURAHUA,ALQUILER,27
INTERNATIONAL,Trailer,AZUAY,ALQUILER,27
FORD,Volqueta,CAÑAR,ALQUILER,27
MERCEDES BENZ,Volqueta,PICHINCHA,ALQUILER,27
VOLVO,Volqueta,LOS RÍOS,PARTICULAR,27
FORD,Camión,PICHINCHA,ALQUILER,27
HINO,Tanquero,PICHINCHA,ALQUILER,27
JMC,Camión,PICHINCHA,PARTICULAR,27
DODGE,Camión,LOS RÍOS,PARTICULAR,27
SCANIA,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,27
KENWORTH,Trailer,AZUAY,PARTICULAR,27
JAC,Camión,TUNGURAHUA,PARTICULAR,27
CHEVROLET,Trailer,PICHINCHA,PARTICULAR,27
Otras Marcas,Camión,AZUAY,PARTICULAR,27
KENWORTH,Trailer,GUAYAS,ALQUILER,27
DAIHATSU,Camión,PASTAZA,PARTICULAR,27
FORD,Trailer,MANABÍ,PARTICULAR,26
HYUNDAI,Camión,MANABÍ,ALQUILER,26
HINO,Trailer,PICHINCHA,PARTICULAR,26
Otras Marcas,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,26
HYUNDAI,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,26
Otras Marcas,Camión,PICHINCHA,PARTICULAR,26
CHEVROLET,Tanquero,MANABÍ,PARTICULAR,25
MACK,Volqueta,PICHINCHA,ALQUILER,25
FORD,Volqueta,MANABÍ,ALQUILER,25
MERCEDES BENZ,Tanquero,PICHINCHA,PARTICULAR,25
MERCEDES BENZ,Volqueta,MANABÍ,PARTICULAR,25
CHEVROLET,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,25
SCANIA,Volqueta,COTOPAXI,PARTICULAR,25
MERCEDES BENZ,Camión,CHIMBORAZO,PARTICULAR,25
FORD,Camión,GUAYAS,ALQUILER,25
FREIGHTLINER,Trailer,COTOPAXI,PARTICULAR,25
CHEVROLET,Trailer,CARCHI,ALQUILER,25
QMC,Camión,PICHINCHA,PARTICULAR,25
FORD,Volqueta,IMBABURA,ALQUILER,25
MERCEDES BENZ,Camión,EL ORO,ALQUILER,25
CHEVROLET,Camión,CHIMBORAZO,ALQUILER,24
FREIGHTLINER,Trailer,COTOPAXI,ALQUILER,24
